run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,solver_delta_angular,correction_delta_angular,total_delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
2,36,1,15,296,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,8102,0.670,22.004,1.623739,1.608622,-0.015117,1.721697,1.769877,0.048180,0.078447,0.079306,0.000859,0.000859,0.000000,0.000859,0.048180,0.015117,213.610,0.733635,18.610,0.733635,1,2
2,36,1,16,298,PART_CHANGE+WIDTH_CHANGE,8102;8104;8106,3.527,21.378,1.587915,1.637110,0.049195,1.822988,1.721414,-0.101574,0.080158,0.084775,0.004617,0.004617,0.000000,0.004617,-0.101574,-0.049195,214.422,0.774142,19.422,0.774142,3,6
2,36,1,17,299,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,8104;8106;8136;8138;8140;8143;8144,40.310,1.983,1.637110,1.121968,-0.515142,1.721414,-0.680740,-2.402153,0.084775,0.038890,-0.045886,-0.045886,0.000000,-0.045886,-2.402153,0.515142,214.838,0.795677,19.838,0.795677,7,14
2,36,1,18,300,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,8136;8138;8140;8143;8144,6.377,14.799,1.121968,0.855169,-0.266799,-0.680740,-0.760202,-0.079463,0.038890,0.044002,0.005112,0.005112,0.000000,0.005112,-0.079463,0.266799,215.123,0.805556,20.123,0.805556,5,10
2,36,1,19,301,PART_CHANGE+WIDTH_CHANGE,8140;8143;8144,3.556,16.012,0.855169,0.840372,-0.014797,-0.760202,-0.731450,0.028753,0.044002,0.042839,-0.001162,-0.001162,0.000000,-0.001162,0.028753,0.014797,215.327,0.816079,20.327,0.816079,3,6
2,36,1,20,302,PART_CHANGE+WIDTH_CHANGE,8143;8144,2.148,16.520,0.840372,0.825186,-0.015186,-0.731450,-0.704062,0.027388,0.042839,0.041682,-0.001158,-0.001158,0.000000,-0.001158,0.027388,0.015186,215.528,0.826323,20.528,0.826323,2,4
2,36,1,21,303,PART_CHANGE+WIDTH_CHANGE,8144,0.742,17.032,0.825186,0.809882,-0.015304,-0.704062,-0.676223,0.027839,0.041682,0.040580,-0.001102,-0.001102,0.000000,-0.001102,0.027839,0.015304,215.726,0.836291,20.726,0.836291,1,2
2,36,1,22,400,PART_CHANGE+WIDTH_CHANGE,8143;8144,2.139,16.820,-0.765288,-0.790327,-0.025039,0.659536,0.638308,-0.021227,-0.038864,-0.040572,-0.001708,-0.001708,0.000000,-0.001708,-0.021227,0.025039,215.200,0.810809,20.200,0.810809,2,4
2,36,1,23,401,PART_CHANGE+WIDTH_CHANGE,8140;8143;8144,3.546,16.298,-0.790327,-0.813910,-0.023583,0.638308,0.611992,-0.026316,-0.040572,-0.042156,-0.001584,-0.001584,0.000000,-0.001584,-0.026316,0.023583,215.011,0.801107,20.011,0.801107,3,6
2,36,1,24,402,PART_CHANGE+WIDTH_CHANGE,8136;8138;8140;8143;8144,6.368,15.074,-0.813910,-0.848534,-0.034624,0.611992,0.526549,-0.085443,-0.042156,-0.044287,-0.002131,-0.002131,0.000000,-0.002131,-0.085443,0.034624,214.817,0.791025,19.817,0.791025,5,10
2,36,1,25,403,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,8102;8104;8106;8136;8138;8140;8143,40.301,3.112,-0.848534,-0.494471,0.354063,0.526549,-0.311477,-0.838027,-0.044287,-0.013392,0.030896,0.030896,0.000000,0.030896,-0.838027,-0.354063,214.614,0.780435,19.614,0.780435,7,14
2,36,1,26,404,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,8102;8104;8106,3.530,21.436,-0.494471,-0.403014,0.091457,-0.311477,-0.314236,-0.002759,-0.013392,-0.013538,-0.000146,-0.000146,0.000000,-0.000146,-0.002759,-0.091457,214.496,0.777232,19.496,0.777232,3,6
2,36,1,27,412,PART_CHANGE+WIDTH_CHANGE,8102;8104,2.099,21.716,-0.136888,-0.113458,0.023430,-0.158393,-0.130832,0.027562,-0.006947,-0.005747,0.001200,0.001200,0.000000,0.001200,0.027562,-0.023430,214.026,0.754939,19.026,0.754939,2,4
2,36,1,28,429,PART_CHANGE+WIDTH_CHANGE,8102;8104;8106,3.523,21.279,0.237366,0.263053,0.025687,0.262275,0.273659,0.011384,0.012167,0.013547,0.001379,0.001379,0.000000,0.001379,0.011384,-0.025687,214.300,0.768932,19.300,0.768932,3,6
2,36,1,29,433,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,8102;8104;8106;8136;8138;8140,38.890,3.893,0.323023,0.167939,-0.155084,0.343802,-0.127725,-0.471526,0.016833,0.008494,-0.008339,-0.008339,0.000000,-0.008339,-0.471526,0.155084,214.598,0.784366,19.598,0.784366,6,12
2,36,1,30,434,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,8136;8138;8140;8143;8144,6.365,15.159,0.167939,0.139304,-0.028635,-0.127725,-0.125987,0.001738,0.008494,0.007042,-0.001452,-0.001452,0.000000,-0.001452,0.001738,0.028635,214.641,0.786524,19.641,0.786524,5,10
2,36,1,31,450,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,8102;8104;8106;8136;8138;8140;8143;8144,41.719,2.490,-0.135269,-0.032638,0.102630,0.084781,-0.038617,-0.123398,-0.007081,-0.001722,0.005359,0.005359,0.000000,0.005359,-0.123398,-0.102630,214.612,0.784985,19.612,0.784985,8,16
2,37,1,1,239,START,8149;8153;8178;8182,14.000,15.430,0.000000,-0.399433,-0.399433,11.019478,3.253459,-7.766020,0.000000,-0.380456,-0.380456,-0.380456,0.000000,-0.380456,-7.766020,0.399433,195.000,0.000000,0.000,0.000000,8,8
2,37,1,2,240,PART_CHANGE+WIDTH_CHANGE,8153,3.082,14.895,-0.399433,-0.495134,-0.095701,3.253459,3.311847,0.058389,-0.380456,-0.363332,0.017124,0.017124,0.000000,0.017124,0.058389,0.095701,194.899,-0.096645,-0.101,-0.096645,2,2
2,37,2,1,256,START,8162;8165;8173;8174;8216,6.988,4.955,-0.467897,-1.270054,-0.802157,4.148377,-1.481935,-5.630312,-0.343345,-0.187833,0.155511,0.158785,-0.003273,0.155511,-5.630312,0.802157,192.971,-1.511319,0.000,0.000000,10,10
2,37,3,1,279,START,8161;8171,1.953,20.154,-1.169475,-1.275979,-0.106505,0.101957,-1.209133,-1.311091,-0.172958,-0.134271,0.038687,0.128957,-0.090270,0.038687,-1.311091,0.106505,185.993,-2.543212,0.000,0.000000,2,4
2,37,3,2,280,RESPONSE,8161;8171,1.915,19.130,-1.275979,-1.528874,-0.252894,-1.209133,-1.507503,-0.298369,-0.134271,-0.115837,0.018435,0.061449,-0.043014,0.018435,-0.298369,0.252894,185.669,-2.577320,-0.324,-0.034108,2,4
2,37,3,3,281,RESPONSE,8161;8171,1.882,18.282,-1.528874,-1.816329,-0.287456,-1.507503,-1.470540,0.036962,-0.115837,-0.104064,0.011772,0.039241,-0.027469,0.011772,0.036962,0.287456,185.304,-2.605020,-0.690,-0.061809,2,4
