piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,falling,52,860.0,,195.000,412.940,0.00000,10.27280,10.27280,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,53,877.0,,195.000,423.547,0.00000,10.39896,10.39896,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,54,894.0,,195.000,434.281,0.00000,10.52319,10.52319,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,55,910.0,,195.000,444.494,0.00000,10.63832,10.63832,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,56,927.0,,195.000,455.468,0.00000,10.75889,10.75889,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,57,944.0,,195.000,466.563,0.00000,10.87761,10.87761,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,58,961.0,58,195.000,474.800,-0.19046,-0.31081,0.36453,-0.002264,0.000000,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,59,977.0,58,194.809,474.076,1.38983,-0.11739,1.39478,-0.080508,-0.002274,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,60,994.0,58,196.205,473.194,0.40893,-0.04619,0.41154,0.012035,-0.083136,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,61,1011.0,58,196.592,472.707,0.19119,0.02488,0.19280,0.014464,-0.071748,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,62,1027.0,58,196.784,472.682,0.00033,0.02388,0.02388,0.014815,-0.057221,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,63,1044.0,58,196.784,472.666,-0.17633,0.01506,0.17697,0.015113,-0.042340,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,64,1061.0,58,196.617,472.658,-0.35104,0.00000,0.35104,0.029716,-0.028041,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,65,1077.0,58,196.265,472.678,-0.30944,-0.01908,0.31003,0.021773,0.001806,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,66,1094.0,58,195.954,472.697,0.24194,0.03447,0.24438,-0.034456,0.023674,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
