run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
6,3,1,4,266,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11140;11142,59.073,8.902,-0.353318,-0.277893,0.075425,0.189351,0.001435,-0.187916,-0.014006,-0.000355,0.013651,-0.187916,-0.075425,193.846,-0.040203,-1.154,-0.040203,2,4
6,3,1,5,268,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11140,6.035,35.417,-0.210078,-0.177407,0.032671,0.003310,0.034328,0.031017,-0.000011,0.001104,0.001115,0.031017,-0.032671,193.722,-0.040296,-1.278,-0.040296,1,2
6,3,1,6,271,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11140;11142,59.072,8.941,-0.113240,-0.083852,0.029388,0.097136,0.001346,-0.095790,0.002542,-0.000237,-0.002780,-0.095790,-0.029388,193.618,-0.038985,-1.382,-0.038985,2,4
6,4,1,1,240,START,11228,5.000,1.944,0.000000,0.149516,0.149516,10.973496,-0.044598,-11.018095,0.000000,0.078715,0.078715,-11.018095,-0.149516,195.000,0.000000,0.000,0.000000,2,2
6,4,1,2,366,WIDTH_CHANGE,11228,0.507,22.060,1.397894,1.413223,0.015329,0.766974,0.791069,0.024095,0.036167,0.036682,0.000514,0.024095,-0.015329,216.747,0.531176,21.747,0.531176,1,2
6,4,1,3,387,PART_CHANGE+WIDTH_CHANGE,11228;11236,2.099,29.372,1.668130,1.701989,0.033859,1.490018,1.495085,0.005067,0.048901,0.051554,0.002653,0.005067,-0.033859,224.886,0.754747,29.886,0.754747,2,4
6,4,1,4,393,PART_CHANGE+WIDTH_CHANGE,11236,0.740,31.136,1.726358,1.727636,0.001278,1.721778,1.772586,0.050808,0.055346,0.056395,0.001049,0.050808,-0.001278,227.401,0.832956,32.401,0.832956,1,2
6,4,1,5,409,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,11236;11265;11278,64.413,5.991,1.602599,1.517719,-0.084879,2.634888,0.002934,-2.631954,0.071002,0.000531,-0.070471,-2.631954,0.084879,234.163,1.085865,39.163,1.085865,3,6
6,4,1,6,410,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11278,0.885,25.770,1.517719,1.453606,-0.064114,0.002934,0.018814,0.015880,0.000531,-0.000096,-0.000627,0.015880,0.064114,234.549,1.086000,39.549,1.086000,1,2
6,4,1,7,413,RESPONSE,11278,0.885,25.761,1.226275,1.059565,-0.166711,-0.021511,-0.084259,-0.062747,0.001497,0.003902,0.002405,-0.062747,0.166711,235.556,1.086391,40.556,1.086391,1,2
6,4,1,8,414,RESPONSE,11278,0.885,25.740,1.059565,0.863881,-0.195684,-0.084259,-0.167969,-0.083711,0.003902,0.007215,0.003313,-0.083711,0.195684,235.809,1.087324,40.809,1.087324,1,2
6,4,1,9,415,RESPONSE,11278,0.886,25.702,0.863881,0.684598,-0.179283,-0.167969,-0.240412,-0.072443,0.007215,0.010096,0.002881,-0.072443,0.179283,236.016,1.089050,41.016,1.089050,1,2
6,4,1,10,442,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11236;11265;11278,64.411,5.826,-0.337594,-0.281518,0.056075,0.475585,-0.000831,-0.476416,-0.018085,-0.000773,0.017312,-0.476416,-0.056075,236.508,1.078334,41.508,1.078334,3,6
6,4,1,11,445,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11236;11265,15.646,30.196,-0.025581,0.015765,0.041346,-0.022927,0.008861,0.031788,-0.001462,0.000807,0.002269,0.031788,-0.041346,236.387,1.077769,41.387,1.077769,2,4
6,4,1,12,448,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11236;11265;11278,64.411,5.848,0.074164,0.016075,-0.058089,0.078607,0.000216,-0.078391,0.003364,0.000137,-0.003227,-0.078391,0.058089,236.421,1.079333,41.421,1.079333,3,6
